ID,Result
2018_3163_3384,1
2018_3274_3346,0
2018_3125_3181,0
2018_3208_3273,1
2018_3138_3378,1
2018_3114_3199,0
2018_3143_3438,0
2018_3299_3376,0
2018_3169_3323,0
2018_3355_3437,0
2018_3177_3328,1
2018_3179_3401,0
2018_3141_3261,1
2018_3203_3326,0
2018_3278_3453,1
2018_3332_3370,1
2018_3163_3346,1
2018_3181_3208,1
2018_3138_3199,1
2018_3376_3438,1
2018_3323_3437,1
2018_3177_3401,0
2018_3141_3326,1
2018_3278_3332,0
2018_3163_3181,1
2018_3138_3376,0
2018_3323_3401,1
2018_3141_3332,0
2018_3163_3376,1
2018_3323_3332,1
2018_3163_3323,0
2018_3280_3311,1
2018_3329_3393,1
2018_3268_3343,1
2018_3189_3301,0
2018_3166_3234,1
2018_3110_3417,0
2018_3113_3304,1
2018_3263_3400,0
2018_3129_3257,0
2018_3173_3266,0
2018_3195_3281,1
2018_3211_3390,0
2018_3333_3443,1
2018_3251_3397,0
2018_3276_3294,1
2018_3124_3212,1
2018_3280_3329,1
2018_3268_3301,0
2018_3166_3417,0
2018_3113_3400,0
2018_3257_3266,1
2018_3195_3390,0
2018_3333_3397,1
2018_3124_3276,1
2018_3280_3301,1
2018_3400_3417,0
2018_3257_3390,1
2018_3124_3333,0
2018_3280_3417,1
2018_3257_3333,1
2018_3257_3280,0
2018_3280_3323,0
