Season,Team1,Team2,Result
2018,3110,3417,0
2018,3113,3304,1
2018,3113,3400,0
2018,3114,3199,0
2018,3124,3212,1
2018,3124,3276,1
2018,3124,3333,0
2018,3125,3181,0
2018,3129,3257,0
2018,3138,3378,1
2018,3138,3199,1
2018,3138,3376,0
2018,3141,3261,1
2018,3141,3326,1
2018,3141,3332,0
2018,3143,3438,0
2018,3163,3384,1
2018,3163,3346,1
2018,3163,3181,1
2018,3163,3376,1
2018,3163,3323,0
2018,3166,3234,1
2018,3166,3417,0
2018,3169,3323,0
2018,3173,3266,0
2018,3177,3328,1
2018,3177,3401,0
2018,3179,3401,0
2018,3181,3208,1
2018,3189,3301,0
2018,3195,3281,1
2018,3195,3390,0
2018,3203,3326,0
2018,3208,3273,1
2018,3211,3390,0
2018,3251,3397,0
2018,3257,3266,1
2018,3257,3390,1
2018,3257,3333,1
2018,3257,3280,0
2018,3263,3400,0
2018,3268,3343,1
2018,3268,3301,0
2018,3274,3346,0
2018,3276,3294,1
2018,3278,3453,1
2018,3278,3332,0
2018,3280,3311,1
2018,3280,3329,1
2018,3280,3301,1
2018,3280,3417,1
2018,3280,3323,0
2018,3299,3376,0
2018,3323,3437,1
2018,3323,3401,1
2018,3323,3332,1
2018,3329,3393,1
2018,3332,3370,1
2018,3333,3443,1
2018,3333,3397,1
2018,3355,3437,0
2018,3376,3438,1
2018,3400,3417,0
