TeamName,LeagueName
Centenary,??
Augusta,??
Cincinnati,AAC
East Carolina,AAC
Houston,AAC
Memphis,AAC
SMU,AAC
South Florida,AAC
Temple,AAC
Tulane,AAC
Tulsa,AAC
UCF,AAC
Connecticut,AAC
Wichita St,AAC
Boston College,ACC
Clemson,ACC
Duke,ACC
Florida St,ACC
Georgia Tech,ACC
Louisville,ACC
Miami FL,ACC
NC State,ACC
North Carolina,ACC
Notre Dame,ACC
Pittsburgh,ACC
Syracuse,ACC
Virginia,ACC
Virginia Tech,ACC
Wake Forest,ACC
Albany NY,America East
Binghamton,America East
Hartford,America East
Maine,America East
New Hampshire,America East
Stony Brook,America East
MA Lowell,America East
UMBC,America East
Vermont,America East
Hardin-Simmons,American SW
FL Gulf Coast,ASUN
Jacksonville,ASUN
Kennesaw,ASUN
Lipscomb,ASUN
NJIT,ASUN
North Florida,ASUN
Stetson,ASUN
SC Upstate,ASUN
Davidson,Atlantic 10
Dayton,Atlantic 10
Duquesne,Atlantic 10
Fordham,Atlantic 10
George Mason,Atlantic 10
G Washington,Atlantic 10
La Salle,Atlantic 10
Massachusetts,Atlantic 10
Rhode Island,Atlantic 10
Richmond,Atlantic 10
St Joseph's PA,Atlantic 10
St Louis,Atlantic 10
St Bonaventure,Atlantic 10
VA Commonwealth,Atlantic 10
Baylor,Big 12
Iowa St,Big 12
Kansas,Big 12
Kansas St,Big 12
Oklahoma,Big 12
Oklahoma St,Big 12
TCU,Big 12
Texas,Big 12
Texas Tech,Big 12
West Virginia,Big 12
Butler,Big East
Creighton,Big East
DePaul,Big East
Georgetown,Big East
Marquette,Big East
Providence,Big East
Seton Hall,Big East
St John's,Big East
Villanova,Big East
Xavier,Big East
E Washington,Big Sky
Idaho,Big Sky
Idaho St,Big Sky
Montana,Big Sky
Montana St,Big Sky
North Dakota,Big Sky
Northern Arizona,Big Sky
N Colorado,Big Sky
Portland St,Big Sky
CS Sacramento,Big Sky
Southern Utah,Big Sky
Weber St,Big Sky
Campbell,Big South
Charleston So,Big South
Gardner Webb,Big South
High Point,Big South
Liberty,Big South
Longwood,Big South
Presbyterian,Big South
Radford,Big South
UNC Asheville,Big South
Winthrop,Big South
Illinois,Big Ten
Indiana,Big Ten
Iowa,Big Ten
Maryland,Big Ten
Michigan,Big Ten
Michigan St,Big Ten
Minnesota,Big Ten
Nebraska,Big Ten
Northwestern,Big Ten
Ohio St,Big Ten
